t,queue_north,queue_south,queue_east,queue_west,queue_total,waiting_total,running_veh,phase
1,0,0,0,0,0,0.0,8,0
2,0,0,0,0,0,0.0,16,0
3,0,0,0,0,0,0.0,17,0
4,0,0,0,0,0,0.0,24,0
5,0,0,0,0,0,0.0,25,0
6,0,0,0,0,0,0.0,33,1
7,0,0,0,0,0,0.0,33,1
8,0,0,0,0,0,0.0,38,1
9,0,0,0,0,0,0.0,41,2
10,0,0,0,0,0,0.0,42,2
11,0,0,0,0,0,0.0,46,2
12,0,0,0,0,0,0.0,46,2
13,0,1,0,0,1,1.0,49,2
14,2,2,0,0,4,5.0,50,2
15,2,3,0,0,5,10.0,53,2
16,3,4,1,0,8,18.0,54,2
17,4,4,2,0,10,28.0,56,2
18,5,7,2,0,14,42.0,57,2
19,7,7,2,0,16,58.0,57,2
20,8,8,3,0,19,77.0,62,2
21,9,10,3,0,22,99.0,63,2
22,11,10,3,1,25,124.0,66,2
23,12,11,3,2,28,152.0,67,2
24,13,13,3,1,30,181.0,67,2
25,14,14,2,1,31,207.0,69,2
26,15,16,2,1,34,241.0,68,2
27,18,17,2,1,38,279.0,69,2
28,19,19,2,1,41,320.0,69,2
29,21,20,2,1,44,364.0,68,2
30,22,22,2,0,46,402.0,68,2
31,22,22,3,0,47,448.0,68,2
32,23,24,3,0,50,498.0,68,2
33,24,24,3,0,51,549.0,67,2
34,25,26,3,0,54,603.0,66,2
35,25,27,2,0,54,653.0,65,2
36,25,28,2,0,55,708.0,66,2
37,25,30,2,0,57,765.0,66,2
38,25,30,1,0,56,799.0,66,2
39,25,30,0,0,55,832.0,67,2
40,25,31,0,0,56,888.0,67,2
41,25,31,0,0,56,944.0,67,2
42,25,31,0,0,56,1000.0,67,2
43,25,31,0,0,56,1056.0,66,2
44,25,31,0,0,56,1112.0,66,2
45,25,31,0,0,56,1168.0,64,3
46,25,31,0,0,56,1224.0,64,3
47,25,31,1,0,57,1281.0,64,3
48,23,29,1,0,53,1197.0,64,0
49,21,27,1,0,49,1114.0,64,0
50,19,25,1,0,45,1032.0,63,0
