t,queue_north,queue_south,queue_east,queue_west,queue_total,waiting_total,running_veh,phase
1,0,0,0,0,0,0.0,8,0
2,0,0,0,0,0,0.0,16,0
3,0,0,0,0,0,0.0,17,0
4,0,0,0,0,0,0.0,24,0
5,0,0,0,0,0,0.0,25,0
6,0,0,0,0,0,0.0,32,0
7,0,0,0,0,0,0.0,33,0
8,0,0,0,0,0,0.0,38,0
9,0,0,0,0,0,0.0,41,0
10,0,0,0,0,0,0.0,42,0
11,0,0,0,0,0,0.0,45,0
12,0,0,0,0,0,0.0,46,0
13,0,0,2,0,2,2.0,48,0
14,0,0,2,1,3,5.0,50,0
15,1,0,2,2,5,10.0,51,0
16,1,0,3,4,8,18.0,52,0
17,2,0,3,4,9,27.0,55,0
18,2,0,5,6,13,40.0,55,0
19,3,0,5,7,15,55.0,57,0
20,4,0,6,8,18,73.0,60,0
21,5,0,7,8,20,93.0,62,0
22,5,0,7,8,20,113.0,64,0
23,6,0,8,8,22,135.0,65,0
24,6,1,8,9,24,159.0,65,0
25,6,1,9,9,25,183.0,66,0
26,7,0,9,9,25,207.0,67,0
27,8,0,9,9,26,233.0,66,0
28,8,0,9,9,26,259.0,66,0
29,9,0,9,9,27,286.0,67,0
30,9,0,9,10,28,314.0,66,0
31,8,0,9,10,27,335.0,67,0
32,8,0,9,10,27,361.0,67,0
33,7,0,10,10,27,387.0,68,0
34,7,0,10,10,27,414.0,67,1
35,8,0,10,10,28,442.0,68,1
36,7,0,10,10,27,448.0,69,1
37,6,2,8,8,24,359.0,67,2
38,5,2,6,6,19,273.0,66,2
39,6,3,4,4,17,190.0,69,2
40,7,5,2,2,16,109.0,70,2
41,8,6,0,0,14,71.0,68,2
42,8,7,1,0,16,68.0,69,2
43,10,8,1,0,19,70.0,69,2
44,9,9,1,0,19,80.0,68,2
45,10,11,2,0,23,97.0,67,2
46,11,11,3,0,25,116.0,65,2
47,10,12,3,0,25,135.0,64,2
48,11,15,4,0,30,165.0,66,2
49,12,16,4,0,32,191.0,66,2
50,13,17,4,0,34,225.0,66,2
