t,queue_north,queue_south,queue_east,queue_west,queue_total,waiting_total,running_veh,phase
1,0,0,0,0,0,0.0,8,0
2,0,0,0,0,0,0.0,15,0
3,0,0,0,0,0,0.0,19,0
4,0,0,0,0,0,0.0,23,0
5,0,0,0,0,0,0.0,26,0
6,0,0,0,0,0,0.0,29,0
7,0,0,0,0,0,0.0,30,0
8,0,0,0,0,0,0.0,32,0
9,0,0,0,0,0,0.0,34,0
10,0,0,0,0,0,0.0,36,0
11,0,0,0,0,0,0.0,37,0
12,0,0,0,0,0,0.0,39,0
13,0,0,0,0,0,0.0,39,0
14,0,1,0,0,1,1.0,42,0
15,1,1,0,0,2,3.0,42,0
16,2,1,0,0,3,6.0,43,0
17,2,2,1,1,6,12.0,43,0
18,3,3,2,2,10,22.0,44,0
19,3,4,2,2,11,33.0,44,0
20,4,5,2,3,14,47.0,46,0
21,4,5,3,3,15,62.0,47,0
22,5,5,3,3,16,78.0,47,0
23,5,6,3,3,17,95.0,46,0
24,6,7,3,3,19,114.0,47,0
25,6,7,3,3,19,133.0,47,0
26,6,8,3,3,20,153.0,48,0
27,6,8,3,3,20,173.0,49,0
28,6,9,3,3,21,194.0,49,0
29,6,9,3,3,21,215.0,51,0
30,7,10,2,3,22,224.0,51,0
31,7,10,1,3,21,232.0,52,0
32,9,11,0,3,23,244.0,53,0
33,9,12,0,3,24,267.0,52,0
34,9,12,0,3,24,290.0,50,0
35,9,12,0,3,24,314.0,51,0
36,10,13,0,3,26,340.0,51,0
37,11,14,0,3,28,368.0,50,0
38,11,15,1,3,30,398.0,50,0
39,12,15,1,3,31,429.0,48,0
40,13,15,2,3,33,462.0,49,0
41,13,15,3,3,34,496.0,49,0
42,14,15,3,3,35,531.0,46,0
43,14,15,3,3,35,566.0,46,0
44,15,15,3,3,36,602.0,47,0
45,15,15,3,3,36,638.0,46,0
46,15,15,2,3,35,665.0,47,1
47,15,15,1,2,33,661.0,49,1
48,15,15,0,1,31,655.0,49,1
49,14,14,0,0,28,585.0,49,2
50,13,13,0,0,26,544.0,51,2
51,12,12,0,1,25,503.0,51,2
52,11,11,1,2,25,463.0,49,2
53,10,10,1,3,24,423.0,49,2
54,9,9,2,3,23,385.0,49,2
55,8,8,3,3,22,351.0,48,2
56,7,8,4,4,23,350.0,50,2
57,6,7,4,4,21,316.0,50,2
58,5,6,5,5,21,285.0,49,2
59,5,5,5,5,20,276.0,49,2
60,4,4,5,5,18,243.0,49,2
61,3,3,5,6,17,211.0,49,2
62,2,2,6,6,16,179.0,48,2
63,2,1,7,7,17,149.0,48,2
64,2,0,7,7,16,119.0,47,2
65,2,0,8,7,17,136.0,47,2
66,2,0,8,7,17,153.0,47,2
67,3,0,8,7,18,171.0,48,2
68,4,0,8,7,19,190.0,49,2
69,5,0,9,7,21,211.0,48,3
70,6,0,10,7,23,234.0,50,3
71,7,0,10,7,24,258.0,51,3
72,6,0,7,4,17,168.0,52,0
73,5,0,4,2,11,101.0,51,0
74,5,1,2,1,9,55.0,53,0
75,6,1,1,0,8,26.0,54,0
76,6,2,0,0,8,25.0,53,0
77,6,3,1,1,11,29.0,53,0
78,7,3,2,2,14,43.0,53,0
79,7,5,3,2,17,52.0,55,0
80,7,5,3,2,17,63.0,55,0
81,8,6,3,3,20,77.0,55,0
82,8,7,3,3,21,92.0,56,0
83,9,7,4,3,23,110.0,58,0
84,8,7,4,3,22,129.0,59,0
85,11,9,4,3,27,156.0,59,0
86,11,9,4,3,27,178.0,59,0
87,10,9,4,3,26,200.0,59,0
88,10,10,4,3,27,224.0,57,0
89,9,11,4,3,27,247.0,57,0
90,10,11,4,3,28,275.0,57,0
91,12,12,3,3,30,291.0,56,0
92,12,13,2,3,30,307.0,58,0
93,13,14,1,3,31,324.0,60,0
94,14,14,1,3,32,345.0,58,0
95,14,14,0,3,31,375.0,58,0
96,14,16,0,3,33,408.0,57,0
97,15,17,0,3,35,443.0,56,0
98,16,17,0,3,36,479.0,55,0
99,17,17,0,3,37,516.0,57,0
100,16,18,0,3,37,552.0,56,0
101,17,18,1,3,39,591.0,55,0
102,17,18,1,3,39,630.0,55,0
103,17,18,2,3,40,670.0,55,0
104,17,18,2,3,40,710.0,54,0
105,17,18,3,4,42,752.0,55,0
106,17,18,3,4,42,794.0,55,0
107,17,18,3,4,42,836.0,54,0
108,17,18,3,4,42,878.0,54,0
109,17,18,3,4,42,920.0,54,0
110,17,18,3,4,42,962.0,54,0
111,17,18,3,4,42,1004.0,54,0
112,17,18,3,4,42,1046.0,55,0
113,17,18,2,4,41,1075.0,55,0
114,17,18,1,4,40,1104.0,53,0
115,17,18,0,4,39,1133.0,53,0
116,17,18,0,4,39,1172.0,53,0
117,17,18,0,4,39,1211.0,52,1
118,17,18,0,3,38,1208.0,54,1
119,17,18,0,2,37,1204.0,54,1
120,16,17,0,1,34,1108.0,54,2
121,15,16,1,1,33,1036.0,53,2
122,14,15,1,1,31,979.0,52,2
123,13,14,2,1,30,922.0,51,2
124,12,13,2,2,29,864.0,51,2
125,11,12,3,2,28,806.0,51,2
126,10,11,3,2,26,747.0,51,2
127,9,10,3,3,25,689.0,51,2
128,8,10,5,4,27,676.0,52,2
129,7,9,5,5,26,619.0,51,2
130,6,8,5,5,24,562.0,52,2
131,6,7,5,5,23,543.0,52,2
132,5,7,5,5,22,524.0,52,2
133,4,6,6,6,22,464.0,51,2
134,3,5,6,6,20,402.0,51,2
135,2,4,6,6,18,340.0,51,2
136,1,3,6,6,16,278.0,51,2
137,0,2,7,6,15,216.0,50,2
138,0,1,7,6,14,189.0,54,2
139,0,1,7,6,14,203.0,54,2
140,0,0,7,6,13,176.0,53,3
141,0,0,7,7,14,190.0,52,3
142,0,0,7,7,14,204.0,53,3
143,1,0,4,4,9,112.0,53,0
144,1,1,2,2,6,54.0,55,0
145,2,1,0,1,4,23.0,55,0
146,3,1,0,0,4,10.0,55,0
147,3,2,0,0,5,15.0,55,0
148,4,2,1,0,7,22.0,57,0
149,4,3,1,1,9,31.0,58,0
150,5,3,2,2,12,43.0,57,0
151,6,4,2,2,14,57.0,57,0
152,6,5,3,2,16,73.0,57,0
153,7,5,4,3,19,92.0,55,0
154,8,6,2,3,19,108.0,57,0
155,8,7,2,4,21,129.0,57,0
156,9,7,2,4,22,151.0,57,0
157,9,7,2,4,22,173.0,57,0
158,10,8,1,4,23,186.0,58,0
159,10,9,1,4,24,201.0,55,0
160,11,10,0,4,25,225.0,56,0
161,12,10,0,4,26,251.0,57,0
162,13,11,0,4,28,279.0,56,0
163,13,12,0,4,29,308.0,55,0
164,13,13,1,4,31,339.0,56,0
165,14,13,1,4,32,371.0,57,0
166,15,15,1,4,35,404.0,58,0
167,15,16,0,4,35,438.0,58,0
168,16,16,0,4,36,474.0,57,0
169,17,17,0,4,38,512.0,56,0
170,17,18,0,4,39,551.0,56,0
171,17,18,1,4,40,591.0,56,0
172,17,18,1,4,40,631.0,57,0
173,17,18,0,4,39,668.0,56,0
174,17,18,0,4,39,707.0,55,0
175,17,18,0,4,39,746.0,54,0
176,17,18,0,4,39,785.0,54,0
177,17,18,0,4,39,824.0,55,0
178,17,18,0,4,39,863.0,54,0
179,17,18,0,4,39,902.0,54,0
180,17,18,0,4,39,941.0,54,0
181,17,18,0,4,39,980.0,54,0
182,17,18,1,4,40,1020.0,54,0
183,17,18,1,4,40,1060.0,56,0
184,17,18,1,4,40,1100.0,56,0
185,17,18,1,4,40,1140.0,57,0
186,17,18,1,4,40,1180.0,55,0
187,17,18,1,4,40,1220.0,56,0
188,17,18,1,4,40,1260.0,55,1
189,17,18,0,3,38,1251.0,55,1
190,17,18,0,2,37,1248.0,55,1
191,16,17,0,1,34,1149.0,57,2
192,15,16,2,0,33,1053.0,56,2
193,14,16,2,0,32,994.0,54,2
194,13,15,2,1,31,936.0,53,2
195,12,14,2,1,29,877.0,53,2
196,11,13,4,2,30,820.0,53,2
197,10,12,4,2,28,762.0,54,2
198,10,11,4,4,29,751.0,54,2
199,9,10,4,4,27,694.0,54,2
200,8,9,4,5,26,635.0,55,2
201,7,9,4,5,25,617.0,55,2
202,6,8,5,7,26,561.0,54,2
203,6,7,5,7,25,546.0,55,2
204,5,6,5,7,23,486.0,55,2
205,4,5,6,7,22,426.0,54,2
206,3,4,6,7,20,365.0,56,2
207,3,3,7,7,20,345.0,55,2
208,2,4,7,7,20,323.0,55,2
209,1,3,7,8,19,261.0,55,2
210,0,3,7,8,18,198.0,55,2
211,0,3,8,8,19,199.0,55,3
212,0,4,9,8,21,220.0,55,3
213,0,5,9,8,22,242.0,54,3
214,1,5,6,5,17,149.0,53,0
215,1,6,3,3,13,95.0,53,0
216,1,7,1,2,11,75.0,54,0
217,2,8,0,1,11,63.0,54,0
218,2,8,0,0,10,57.0,54,0
219,2,8,1,0,11,68.0,55,0
220,3,9,1,1,14,82.0,55,0
221,4,9,1,2,16,96.0,57,0
222,4,10,0,3,17,112.0,58,0
223,4,11,0,3,18,130.0,58,0
224,5,12,0,4,21,151.0,60,0
225,6,13,0,4,23,174.0,59,0
226,6,13,0,4,23,197.0,61,0
227,6,13,0,4,23,220.0,61,0
228,7,14,0,4,25,245.0,61,0
229,8,14,0,4,26,271.0,63,0
230,9,15,0,4,28,299.0,61,0
231,10,16,0,4,30,329.0,62,0
232,11,17,0,4,32,361.0,59,0
233,11,17,0,4,32,393.0,60,0
234,12,18,0,4,34,427.0,61,0
235,12,18,0,4,34,461.0,61,0
236,13,19,0,4,36,497.0,60,0
237,15,19,0,4,38,534.0,60,0
238,15,19,0,4,38,572.0,58,0
239,16,19,0,4,39,610.0,58,0
240,17,19,0,5,41,651.0,57,0
241,16,19,0,4,39,668.0,57,0
242,17,19,0,3,39,686.0,57,0
243,18,19,0,2,39,704.0,57,0
244,19,19,0,1,39,723.0,55,0
245,19,19,0,0,38,756.0,56,0
246,19,19,0,1,39,795.0,54,0
247,19,19,0,2,40,835.0,54,0
248,19,19,0,2,40,875.0,54,0
249,19,19,0,2,40,915.0,54,0
250,19,19,0,3,41,956.0,54,0
251,19,19,0,3,41,997.0,54,0
252,19,19,0,4,42,1039.0,55,0
253,19,19,0,4,42,1081.0,54,0
254,19,19,0,4,42,1123.0,53,0
255,19,19,0,4,42,1165.0,53,0
256,19,19,0,4,42,1207.0,52,0
257,19,19,0,4,42,1249.0,52,0
258,19,19,0,4,42,1291.0,53,0
259,19,19,0,4,42,1333.0,53,1
260,19,19,0,4,42,1375.0,53,1
261,19,19,0,3,41,1401.0,51,1
262,18,18,0,2,38,1322.0,51,2
263,17,17,0,2,36,1246.0,51,2
264,16,16,0,1,33,1170.0,53,2
265,15,15,1,2,33,1106.0,53,2
266,14,14,2,2,32,1043.0,51,2
267,13,13,2,3,31,980.0,51,2
268,12,12,2,4,30,918.0,51,2
269,11,11,2,4,28,854.0,51,2
270,10,10,2,5,27,791.0,52,2
271,9,9,2,5,25,727.0,52,2
272,8,9,3,5,25,712.0,51,2
273,8,8,3,5,24,686.0,51,2
274,7,7,3,5,22,618.0,55,2
275,6,6,3,5,20,549.0,54,2
276,5,5,3,5,18,480.0,54,2
277,5,5,3,5,18,498.0,53,2
278,3,4,4,6,17,389.0,53,2
279,3,3,5,6,17,358.0,53,2
280,2,2,5,6,15,287.0,52,2
281,2,1,5,6,14,254.0,50,2
282,1,1,5,6,13,228.0,50,3
283,1,0,6,6,13,155.0,49,3
284,2,0,6,6,14,169.0,48,3
285,2,1,3,3,9,82.0,48,0
286,2,1,0,3,6,49.0,49,0
287,3,1,0,2,6,35.0,53,0
288,4,1,0,1,6,21.0,52,0
289,4,2,0,0,6,24.0,53,0
290,5,3,0,1,9,33.0,52,0
291,6,4,1,1,12,45.0,53,0
292,7,5,1,1,14,59.0,53,0
293,7,5,0,3,15,72.0,52,0
294,8,5,0,3,16,88.0,53,0
295,8,6,0,4,18,106.0,56,0
296,9,7,0,4,20,126.0,55,0
297,9,7,1,4,21,147.0,56,0
298,10,7,1,4,22,169.0,57,0
299,11,8,1,4,24,193.0,56,0
300,12,8,1,4,25,218.0,55,0
301,13,8,1,4,26,244.0,55,0
302,14,9,1,4,28,272.0,55,0
303,14,10,1,4,29,301.0,57,0
304,15,11,1,4,31,332.0,56,0
305,15,11,1,4,31,363.0,56,0
306,15,13,1,4,33,396.0,56,0
307,16,14,1,4,35,431.0,58,0
308,17,15,1,4,37,468.0,57,0
309,18,15,0,4,37,493.0,56,0
310,18,16,0,4,38,531.0,56,0
311,18,16,0,4,38,569.0,55,0
312,18,17,0,4,39,608.0,55,0
313,18,18,0,4,40,648.0,57,0
314,18,18,0,4,40,688.0,55,0
315,18,18,1,4,41,729.0,55,0
316,18,18,0,4,40,768.0,55,0
317,18,18,0,4,40,808.0,53,0
318,18,18,0,4,40,848.0,53,0
319,18,18,0,4,40,888.0,54,0
320,18,18,0,4,40,928.0,56,0
321,18,18,0,4,40,968.0,56,0
322,18,18,0,4,40,1008.0,56,0
323,18,18,0,4,40,1048.0,56,0
324,18,18,0,4,40,1088.0,55,0
325,18,18,0,4,40,1128.0,55,0
326,18,18,0,3,39,1131.0,55,0
327,18,18,0,2,38,1135.0,56,0
328,18,18,0,1,37,1137.0,56,0
329,18,18,0,0,36,1139.0,57,0
330,18,18,0,0,36,1175.0,55,1
331,18,18,0,0,36,1211.0,56,1
332,18,18,0,0,36,1247.0,55,1
333,17,17,0,0,34,1183.0,56,2
334,16,16,0,1,33,1121.0,55,2
335,15,15,0,2,32,1060.0,55,2
336,14,14,0,3,31,998.0,55,2
337,13,13,3,4,33,939.0,56,2
338,12,12,3,5,32,881.0,56,2
339,11,12,3,5,31,865.0,56,2
340,10,11,4,6,31,806.0,55,2
341,9,10,4,6,29,748.0,55,2
342,8,9,4,6,27,691.0,57,2
343,7,8,6,6,27,634.0,57,2
344,6,7,6,6,25,575.0,57,2
345,6,6,7,6,25,561.0,56,2
346,5,5,7,6,23,499.0,56,2
347,4,5,8,6,23,477.0,55,2
348,3,4,8,6,21,413.0,53,2
349,2,3,8,7,20,350.0,53,2
350,3,2,9,7,21,331.0,54,2
351,2,1,9,7,19,268.0,52,2
352,2,0,9,7,18,204.0,52,2
353,3,0,9,7,19,223.0,50,3
