t,queue_north,queue_south,queue_east,queue_west,queue_total,waiting_total,running_veh,phase
1,0,0,0,0,0,0.0,8,0
2,0,0,0,0,0,0.0,12,0
3,0,0,0,0,0,0.0,17,0
4,0,0,0,0,0,0.0,23,0
5,0,0,0,0,0,0.0,29,0
6,0,0,0,0,0,0.0,33,1
7,0,0,0,0,0,0.0,35,1
8,0,0,0,0,0,0.0,40,1
9,0,0,0,0,0,0.0,41,2
10,0,0,0,0,0,0.0,41,2
11,0,0,0,0,0,0.0,45,2
12,0,0,0,0,0,0.0,47,2
13,0,1,0,0,1,1.0,48,2
14,1,1,0,0,2,3.0,51,2
15,3,2,0,0,5,8.0,54,2
16,3,3,0,0,6,14.0,55,2
17,3,4,1,1,9,23.0,55,2
18,5,5,2,2,14,37.0,55,2
19,6,7,2,2,17,54.0,55,2
20,7,7,3,3,20,74.0,56,2
21,8,9,3,3,23,97.0,56,2
22,9,9,3,3,24,116.0,58,2
23,11,9,2,4,26,137.0,58,2
24,11,10,1,4,26,159.0,59,2
25,12,11,0,3,26,174.0,58,2
26,13,11,0,2,26,192.0,59,2
27,14,12,0,1,27,212.0,57,2
28,14,13,0,0,27,234.0,57,2
29,14,14,0,0,28,262.0,59,2
30,14,14,0,0,28,290.0,59,2
31,15,14,0,0,29,319.0,59,2
32,15,14,0,0,29,348.0,60,2
33,15,14,0,0,29,377.0,60,2
34,15,15,1,0,31,408.0,60,2
35,15,15,2,0,32,440.0,60,2
36,15,15,2,0,32,472.0,62,2
37,15,15,2,1,33,505.0,60,2
38,16,16,3,1,36,541.0,59,2
39,16,16,3,1,36,577.0,58,2
40,16,16,2,1,35,610.0,58,2
41,16,16,2,1,35,645.0,57,2
42,16,16,2,1,35,680.0,58,2
43,18,16,2,1,37,717.0,58,2
44,18,16,1,1,36,744.0,58,2
45,19,18,1,1,39,783.0,58,2
46,19,18,0,1,38,809.0,59,3
47,19,18,0,0,37,836.0,60,3
48,19,18,1,0,38,874.0,60,3
49,17,16,1,0,34,770.0,60,0
50,15,15,2,0,32,668.0,63,0
51,13,14,3,0,30,568.0,63,0
52,12,12,4,0,28,469.0,62,0
53,11,10,5,1,27,373.0,60,0
54,10,9,5,1,25,311.0,60,0
55,9,7,5,1,22,226.0,59,0
56,7,6,6,1,20,147.0,62,0
57,6,6,6,1,19,133.0,62,0
58,5,5,7,2,19,98.0,62,0
59,5,4,7,2,18,104.0,63,0
60,6,4,7,3,20,107.0,64,0
61,5,5,8,4,22,126.0,64,0
62,6,6,9,5,26,152.0,63,0
63,6,7,9,5,27,169.0,64,0
64,5,6,9,5,25,175.0,63,0
65,5,5,9,5,24,184.0,63,0
66,4,5,10,5,24,195.0,62,0
67,4,5,10,5,24,205.0,64,0
68,4,5,11,5,25,217.0,65,0
69,3,4,11,5,23,227.0,65,0
70,4,3,11,5,23,243.0,67,0
71,3,3,11,5,22,254.0,67,0
72,3,4,12,6,25,274.0,67,0
73,1,4,12,6,23,283.0,65,0
74,1,3,12,6,22,297.0,65,0
75,1,4,12,6,23,320.0,65,0
76,1,5,12,6,24,344.0,63,0
77,2,5,12,6,25,369.0,64,0
78,2,5,12,6,25,394.0,64,0
79,3,6,12,6,27,421.0,65,0
80,4,6,12,6,28,449.0,65,0
81,4,8,13,6,31,480.0,63,0
82,5,8,14,7,34,514.0,63,0
83,6,8,14,7,35,549.0,64,0
84,7,8,14,7,36,585.0,65,0
85,7,9,14,7,37,622.0,65,0
86,8,6,14,7,35,646.0,65,0
87,6,6,15,7,34,676.0,65,0
88,4,6,15,7,32,697.0,65,0
89,4,6,15,8,33,730.0,66,0
90,2,7,15,8,32,738.0,67,0
