t,queue_north,queue_south,queue_east,queue_west,queue_total,waiting_total,running_veh,phase
1,0,0,0,0,0,0.0,7,0
2,0,0,0,0,0,0.0,11,0
3,0,0,0,0,0,0.0,15,0
4,0,0,0,0,0,0.0,21,0
5,0,0,0,0,0,0.0,26,0
6,0,0,0,0,0,0.0,29,0
7,0,0,0,0,0,0.0,33,0
8,0,0,0,0,0,0.0,35,0
9,0,0,0,0,0,0.0,37,0
10,0,0,0,0,0,0.0,37,0
11,0,0,0,0,0,0.0,40,0
12,0,0,0,1,1,1.0,44,0
13,0,0,0,1,1,2.0,45,0
14,0,0,1,2,3,5.0,48,0
15,0,0,1,3,4,9.0,49,0
16,1,1,2,4,8,17.0,49,0
17,2,2,2,6,12,29.0,50,0
18,2,2,4,6,14,43.0,51,0
19,2,3,4,6,15,58.0,51,0
20,3,3,4,8,18,76.0,51,0
21,3,4,5,8,20,96.0,51,0
22,2,4,5,9,20,110.0,52,0
23,2,4,6,9,21,125.0,53,0
24,2,3,6,10,21,134.0,52,0
25,0,3,6,10,19,142.0,52,0
26,0,1,7,12,20,154.0,52,0
27,0,0,8,12,20,168.0,54,0
28,0,0,8,13,21,189.0,55,0
29,0,0,8,13,21,210.0,55,0
30,0,0,8,13,21,231.0,54,0
31,0,0,8,13,21,252.0,53,0
32,0,0,8,13,21,273.0,52,0
33,1,0,8,13,22,295.0,54,0
34,1,0,8,13,22,317.0,53,1
35,1,1,8,13,23,338.0,52,1
36,0,0,8,13,21,357.0,51,1
37,0,0,7,12,19,305.0,50,2
38,1,0,6,10,17,256.0,52,2
39,1,0,5,8,14,204.0,52,2
40,3,1,4,6,14,156.0,52,2
41,3,2,4,4,13,115.0,51,2
42,4,3,3,2,12,85.0,48,2
43,5,4,3,1,13,64.0,49,2
44,7,5,2,0,14,45.0,48,2
45,8,6,2,0,16,61.0,49,2
46,8,7,3,0,18,79.0,48,2
47,9,8,3,0,20,99.0,48,2
48,9,8,4,0,21,120.0,48,2
49,9,8,6,0,23,143.0,49,2
50,10,8,5,0,23,165.0,51,2
51,10,8,6,0,24,189.0,51,2
52,10,8,7,0,25,214.0,50,2
53,10,9,7,0,26,240.0,51,2
54,10,10,7,0,27,267.0,51,2
55,11,10,7,0,28,295.0,51,2
56,12,10,7,0,29,324.0,51,2
57,12,10,7,0,29,353.0,51,2
58,12,10,7,0,29,382.0,53,2
59,12,10,7,0,29,411.0,53,2
