t,queue_north,queue_south,queue_east,queue_west,queue_total,waiting_total,running_veh,phase
1,0,0,0,0,0,0.0,8,0
2,0,0,0,0,0,0.0,12,0
3,0,0,0,0,0,0.0,17,0
4,0,0,0,0,0,0.0,23,0
5,0,0,0,0,0,0.0,29,0
6,0,0,0,0,0,0.0,33,0
7,0,0,0,0,0,0.0,35,0
8,0,0,0,0,0,0.0,40,0
9,0,0,0,0,0,0.0,41,0
10,0,0,0,0,0,0.0,41,0
11,0,0,0,0,0,0.0,45,0
12,0,0,0,1,1,1.0,47,0
13,0,0,0,1,1,2.0,48,0
14,0,0,1,2,3,5.0,51,0
15,0,0,1,3,4,9.0,55,0
16,0,1,3,5,9,18.0,55,0
17,1,1,4,6,12,30.0,55,0
18,2,3,5,7,17,47.0,55,0
19,2,3,6,7,18,65.0,55,0
20,3,3,7,8,21,86.0,56,0
21,3,4,8,8,23,109.0,57,0
22,4,4,9,9,26,130.0,59,0
23,3,4,10,10,27,152.0,59,0
24,2,3,10,11,26,166.0,59,0
25,0,2,11,11,24,177.0,59,0
26,0,1,12,12,25,194.0,59,0
27,0,0,12,12,24,212.0,58,0
28,0,0,13,13,26,238.0,57,0
29,0,0,14,13,27,265.0,60,0
30,0,0,14,13,27,292.0,59,0
31,0,1,14,14,29,321.0,59,0
32,1,1,15,14,31,352.0,59,0
33,1,1,15,14,31,383.0,59,0
34,2,2,15,14,33,416.0,59,1
35,2,2,15,14,33,446.0,59,1
36,0,2,17,14,33,471.0,60,1
37,0,1,16,12,29,405.0,59,2
38,0,0,14,10,24,340.0,60,2
39,1,1,12,8,22,276.0,59,2
40,2,1,10,6,19,213.0,59,2
41,4,1,8,5,18,157.0,59,2
42,4,2,7,4,17,112.0,58,2
43,4,3,6,2,15,82.0,60,2
44,4,4,6,1,15,73.0,59,2
45,5,5,5,2,17,66.0,58,2
46,5,5,4,3,17,70.0,59,2
47,7,5,4,3,19,88.0,62,2
48,8,5,4,4,21,109.0,62,2
49,8,6,5,4,23,132.0,63,2
50,8,6,6,6,26,158.0,66,2
51,8,6,6,6,26,184.0,66,2
52,8,7,7,6,28,202.0,64,2
53,8,7,7,5,27,210.0,63,2
54,8,7,7,4,26,218.0,61,2
55,9,8,6,3,26,227.0,61,2
56,9,8,6,2,25,237.0,63,2
57,9,8,6,2,25,247.0,64,2
58,9,9,6,2,26,265.0,63,2
59,9,9,3,1,22,265.0,64,2
60,10,10,1,0,21,273.0,63,2
61,10,10,0,0,20,290.0,63,2
62,10,10,0,0,20,310.0,63,2
63,10,10,0,0,20,330.0,65,2
64,10,10,0,0,20,350.0,65,2
65,10,10,1,0,21,371.0,61,2
66,10,10,1,0,21,392.0,60,2
67,10,10,2,0,22,414.0,62,2
68,12,10,3,0,25,439.0,61,2
69,12,11,3,0,26,465.0,62,2
70,12,11,3,0,26,491.0,63,3
71,12,11,4,0,27,518.0,62,3
72,12,11,4,0,27,538.0,61,3
73,10,10,4,0,24,425.0,60,0
74,8,8,5,0,21,313.0,59,0
75,7,6,4,1,18,211.0,58,0
76,5,4,4,1,14,119.0,57,0
77,3,3,3,1,10,50.0,57,0
78,3,1,5,1,10,26.0,57,0
79,1,0,6,1,8,27.0,57,0
80,0,1,8,1,10,35.0,56,0
81,1,2,9,1,13,48.0,56,0
82,2,3,9,1,15,63.0,56,0
83,3,4,11,2,20,83.0,56,0
84,3,5,12,2,22,105.0,56,0
85,3,3,12,2,20,118.0,58,0
86,3,6,13,2,24,138.0,57,0
87,2,5,14,2,23,156.0,58,0
88,2,6,15,2,25,178.0,57,0
89,2,7,15,2,26,201.0,57,0
90,2,7,16,2,27,226.0,58,0
