t,queue_north,queue_south,queue_east,queue_west,queue_total,waiting_total,running_veh,phase
1,0,0,0,0,0,0.0,12,0
2,0,0,0,0,0,0.0,22,0
3,0,0,0,0,0,0.0,29,0
4,0,0,0,0,0,0.0,33,0
5,0,0,0,0,0,0.0,37,0
6,0,0,0,0,0,0.0,40,0
7,0,0,0,0,0,0.0,40,0
8,0,0,0,0,0,0.0,46,0
9,0,0,0,0,0,0.0,49,0
10,0,0,0,0,0,0.0,51,0
11,0,0,0,0,0,0.0,52,0
12,0,1,0,1,2,2.0,52,0
13,0,1,1,1,3,5.0,52,0
14,1,1,2,3,7,12.0,53,0
15,1,2,3,4,10,22.0,55,0
16,2,2,4,5,13,35.0,55,0
17,2,2,5,6,15,50.0,55,0
18,3,3,6,7,19,69.0,55,0
19,4,4,7,8,23,92.0,55,0
20,4,4,9,9,26,118.0,56,0
21,4,4,9,9,26,144.0,57,0
22,4,4,10,11,29,173.0,59,0
23,4,4,11,12,31,204.0,57,0
24,4,4,11,12,31,235.0,57,0
25,4,4,13,13,34,269.0,54,0
26,4,4,14,13,35,304.0,54,0
27,4,4,14,13,35,339.0,53,0
28,4,4,14,13,35,374.0,53,0
29,4,4,14,13,35,409.0,54,0
30,4,4,14,13,35,444.0,53,0
31,4,4,14,13,35,479.0,54,1
32,4,4,15,13,36,515.0,55,1
33,4,4,15,14,37,552.0,53,1
34,3,3,15,14,35,545.0,54,2
35,2,2,15,14,33,539.0,55,2
36,1,1,15,14,31,534.0,57,2
37,0,0,18,14,32,530.0,56,2
38,0,1,18,14,33,563.0,55,2
39,0,1,18,14,33,596.0,55,2
40,0,1,18,14,33,629.0,54,2
41,0,1,18,14,33,662.0,53,2
42,0,2,19,15,36,698.0,54,2
43,0,2,19,15,36,734.0,56,2
44,1,2,19,15,37,771.0,57,2
45,1,2,19,15,37,808.0,57,2
46,2,2,19,15,38,846.0,57,2
47,3,2,19,15,39,885.0,59,2
48,3,2,20,15,40,925.0,58,2
49,3,2,20,15,40,965.0,59,3
50,3,2,20,15,40,1005.0,62,3
51,3,4,21,16,44,1049.0,62,3
52,3,4,19,14,40,935.0,62,4
53,3,4,18,12,37,828.0,61,4
54,3,4,16,10,33,731.0,60,4
55,4,5,14,8,31,645.0,60,4
56,4,6,12,8,30,572.0,60,4
57,4,6,10,7,27,514.0,62,4
58,4,6,8,5,23,491.0,62,4
59,4,6,8,5,23,495.0,61,4
60,4,6,8,5,23,518.0,62,4
61,4,7,6,5,22,530.0,61,4
62,5,7,6,5,23,553.0,61,4
63,5,7,6,5,23,576.0,63,4
64,5,7,6,5,23,599.0,64,4
65,5,7,6,5,23,622.0,64,4
66,5,7,6,5,23,645.0,63,4
67,5,7,6,5,23,668.0,65,4
68,6,8,6,5,25,693.0,65,4
69,6,8,6,5,25,718.0,66,4
70,7,8,6,5,26,744.0,68,4
71,7,8,6,5,26,770.0,67,4
72,7,8,6,5,26,796.0,65,4
73,7,8,6,5,26,822.0,64,4
74,7,9,6,5,27,849.0,62,4
75,7,9,6,5,27,876.0,62,4
76,7,9,6,5,27,903.0,61,4
77,7,9,6,5,27,930.0,61,4
78,8,9,6,5,28,958.0,60,4
79,10,9,6,5,30,988.0,58,4
80,10,10,6,5,31,1019.0,57,4
